Image Name,Image Entropy,Error Entropy (MED),Error Entropy (OPT_3),Erro Entropy (My Method 1),Error BPP (My Method 1),Run Time (My Method 1),Erro Entropy (My Method 2),Error BPP (My Method 2),Run Time (My Method 2),Erro Entropy (My Method 3),Error BPP (My Method 3),Run Time (My Method 3)
CLIC_2025_1,7.573678,4.024232,3.572794,4.026119,0,10.526469,3.689904,0.000051,6.649028,3.607005,5.874918,1.90517
CLIC_2025_2,7.615759,5.889772,5.739044,5.892087,0,11.113279,5.821493,0.000046,6.537448,5.706341,6.836424,0.520576
Kodak_01,7.161006,5.511179,5.511926,5.523678,0,1.6614,5.665907,0.000326,0.912489,5.350421,6.503722,0.071446
Kodak_23,7.251587,3.829204,3.543218,3.840914,0,1.591635,3.627043,0.000326,0.947181,3.672004,5.67097,0.056262
Livingroom,7.295174,4.83918,4.830203,4.861838,0,0.994625,5.009845,0.000488,0.629423,4.784764,7.60301,0.041322
Bridge,7.683018,5.668946,5.599623,5.681421,0,1.148741,5.70758,0.000488,0.559056,5.596805,7.743349,0.040958
Baboon,7.292549,5.233969,5.015353,5.254854,0,1.128252,5.37895,0.000488,0.53755,5.13658,9.285636,0.037053
Peppers,7.571478,4.843694,4.712849,4.850672,0,1.08188,4.649051,0.000488,0.596803,4.766728,8.438841,0.046134
MRI_1,6.428016,3.765981,3.204443,3.794911,0,0.997311,4.005337,0.000488,0.58796,3.419051,6.563298,0.038566
MRI_2,6.619796,3.612304,2.975721,3.642836,0,1.210238,3.683289,0.000488,0.647808,3.320447,5.714222,0.034547
Retina,5.620445,3.018433,2.59997,3.027321,0,0.992348,2.729284,0.000488,0.541246,2.895445,2.234647,0.035295
Cells,4.810637,3.683532,3.299986,3.697388,0,1.140902,3.469052,0.000488,0.577735,3.271754,5.265371,0.041642
Average,6.910261,4.493369,4.217094,4.507837,0,2.798923,4.453061,0.000388,1.643644,4.293945,6.477867,0.239081
